"PERIODO","MES","SEMANA","FESTIVOS","MUERTES.R"
2016,"12",48,0,0
2016,"12",49,0,3
2016,"12",49,1,0
2016,"12",50,0,4
2016,"12",51,0,1
2016,"12",52,0,4
2016,"12",52,1,0
2016,"12",53,0,3
2017,"7",27,0,5
2017,"7",27,1,2
2017,"7",30,0,5
2017,"7",28,0,3
2017,"7",26,0,1
2017,"7",29,0,2
2017,"7",29,1,1
2017,"7",31,0,1
2017,"5",19,0,6
2017,"5",22,0,1
2017,"5",22,1,2
2017,"5",18,0,4
2017,"5",18,1,1
2017,"5",20,0,1
2017,"5",21,0,4
2017,"6",26,0,3
2017,"6",23,0,6
2017,"6",24,0,6
2017,"6",25,0,5
2017,"6",25,1,0
2017,"6",22,0,2
2017,"4",16,0,3
2017,"4",16,1,1
2017,"4",17,0,3
2017,"4",13,0,0
2017,"4",14,0,2
2017,"4",15,0,2
2017,"4",15,1,0
2017,"4",18,0,0
2017,"2",8,0,4
2017,"2",6,0,7
2017,"2",7,0,6
2017,"2",9,0,0
2017,"2",5,0,0
2017,"3",13,0,3
2017,"3",9,0,5
2017,"3",10,0,4
2017,"3",11,0,1
2017,"3",12,0,4
2017,"3",12,1,1
2017,"1",5,0,5
2017,"1",1,1,3
2017,"1",1,0,2
2017,"1",2,0,3
2017,"1",2,1,0
2017,"1",3,0,7
2017,"1",4,0,5
2017,"8",31,0,7
2017,"8",34,0,1
2017,"8",34,1,3
2017,"8",35,0,7
2017,"8",32,0,2
2017,"8",32,1,1
2017,"8",33,0,4
2017,"12",50,0,5
2017,"12",48,0,0
2017,"12",51,0,5
2017,"12",52,1,5
2017,"12",52,0,6
2017,"12",49,0,2
2017,"12",49,1,0
2017,"12",53,0,0
2017,"11",45,0,4
2017,"11",45,1,0
2017,"11",46,1,0
2017,"11",46,0,1
2017,"11",47,0,3
2017,"11",44,0,0
2017,"11",48,0,3
2017,"10",44,0,1
2017,"10",43,0,6
2017,"10",40,0,5
2017,"10",42,0,2
2017,"10",42,1,2
2017,"10",41,0,4
2017,"9",39,0,3
2017,"9",38,0,3
2017,"9",36,0,4
2017,"9",37,0,1
2017,"9",35,0,3
2018,"1",1,0,4
2018,"1",1,1,0
2018,"1",2,0,2
2018,"1",2,1,0
2018,"1",3,0,6
2018,"1",4,0,3
2018,"1",5,0,0
2018,"2",5,0,2
2018,"2",7,0,11
2018,"2",6,0,3
2018,"2",8,0,7
2018,"2",9,0,3
2018,"3",13,1,4
2018,"3",13,0,6
2018,"3",12,0,4
2018,"3",12,1,2
2018,"3",11,0,4
2018,"3",10,0,4
2018,"3",9,0,8
2018,"4",14,0,2
2018,"4",13,1,0
2018,"4",16,0,6
2018,"4",17,0,5
2018,"4",15,0,4
2018,"4",18,0,0
2018,"5",19,0,11
2018,"5",21,0,11
2018,"5",20,0,3
2018,"5",20,1,4
2018,"5",18,0,7
2018,"5",18,1,1
2018,"5",22,0,6
2018,"7",27,0,5
2018,"7",27,1,1
2018,"7",28,0,4
2018,"7",26,0,0
2018,"7",29,0,2
2018,"7",29,1,0
2018,"7",30,0,0
2018,"7",31,0,1
2018,"10",40,0,4
2018,"10",41,0,4
2018,"10",42,1,0
2018,"10",42,0,3
2018,"10",43,0,2
2018,"10",44,0,2
2018,"12",48,0,2
2018,"12",52,0,4
2018,"12",52,1,2
2018,"12",53,0,0
2018,"12",51,0,7
2018,"12",49,0,4
2018,"12",49,1,1
2018,"12",50,0,5
2018,"6",25,0,5
2018,"6",26,0,5
2018,"6",24,0,2
2018,"6",24,1,1
2018,"6",22,0,3
2018,"6",23,0,2
2018,"6",23,1,0
2018,"8",33,0,6
2018,"8",34,0,2
2018,"8",34,1,0
2018,"8",32,1,1
2018,"8",32,0,2
2018,"8",31,0,3
2018,"8",35,0,2
2018,"9",38,0,5
2018,"9",39,0,5
2018,"9",37,0,7
2018,"9",36,0,4
2018,"9",35,0,0
2018,"11",47,0,1
2018,"11",45,0,2
2018,"11",45,1,0
2018,"11",46,0,4
2018,"11",46,1,1
2018,"11",48,0,1
2018,"11",44,0,4
