MUERTES;ANYO;SEMANA;FESTIVOS;SEMANA_SANTA;COLOMBIAMODA;FERIA_FLORES;ENERO_1;PUENTE_REYES;DIC_31;DIC_24
4;2;33;0;0;0;0;0;0;0;0
0;2;33;1;0;0;0;0;0;0;0
5;2;34;0;0;0;0;0;0;0;0
7;2;35;0;0;0;0;0;0;0;0
8;2;36;0;0;0;0;0;0;0;0
3;2;37;0;0;0;0;0;0;0;0
3;2;38;0;0;0;0;0;0;0;0
1;2;39;0;0;0;0;0;0;0;0
7;2;40;0;0;0;0;0;0;0;0
3;2;41;0;0;0;0;0;0;0;0
1;2;41;1;0;0;0;0;0;0;0
4;2;42;0;0;0;0;0;0;0;0
1;2;43;0;0;0;0;0;0;0;0
6;2;44;0;0;0;0;0;0;0;0
0;2;44;1;0;0;0;0;0;0;0
4;2;45;0;0;0;0;0;0;0;0
3;2;46;0;0;0;0;0;0;0;0
1;2;46;1;0;0;0;0;0;0;0
1;2;47;0;0;0;0;0;0;0;0
3;2;48;0;0;0;0;0;0;0;0
8;2;49;0;0;0;0;0;0;0;0
1;2;49;1;0;0;0;0;0;0;0
5;2;50;0;0;0;0;0;0;0;0
3;2;51;0;0;0;0;0;0;0;0
0;2;52;0;0;0;0;0;0;0;1
2;2;52;0;0;0;0;0;0;0;0
3;2;52;1;0;0;0;0;0;0;0
1;2;53;0;0;0;0;0;0;1;0
1;3;1;1;0;0;0;1;0;0;0
4;3;1;0;0;0;0;0;0;0;0
0;3;2;0;0;0;0;0;0;0;0
1;3;2;1;0;0;0;0;1;0;0
4;3;3;0;0;0;0;0;0;0;0
6;3;4;0;0;0;0;0;0;0;0
1;3;5;0;0;0;0;0;0;0;0
5;3;6;0;0;0;0;0;0;0;0
1;3;7;0;0;0;0;0;0;0;0
8;3;8;0;0;0;0;0;0;0;0
8;3;9;0;0;0;0;0;0;0;0
5;3;10;0;0;0;0;0;0;0;0
7;3;11;0;0;0;0;0;0;0;0
5;3;12;0;0;0;0;0;0;0;0
2;3;12;1;0;0;0;0;0;0;0
0;3;12;1;1;0;0;0;0;0;0
3;3;13;1;1;0;0;0;0;0;0
1;3;13;0;1;0;0;0;0;0;0
3;3;13;0;0;0;0;0;0;0;0
4;3;14;0;0;0;0;0;0;0;0
2;3;15;0;0;0;0;0;0;0;0
2;3;16;0;0;0;0;0;0;0;0
4;3;17;0;0;0;0;0;0;0;0
1;3;18;0;0;0;0;0;0;0;0
0;3;18;1;0;0;0;0;0;0;0
2;3;19;0;0;0;0;0;0;0;0
0;3;19;1;0;0;0;0;0;0;0
6;3;20;0;0;0;0;0;0;0;0
6;3;21;0;0;0;0;0;0;0;0
1;3;22;0;0;0;0;0;0;0;0
1;3;22;1;0;0;0;0;0;0;0
6;3;23;0;0;0;0;0;0;0;0
1;3;23;1;0;0;0;0;0;0;0
5;3;24;0;0;0;0;0;0;0;0
7;3;25;0;0;0;0;0;0;0;0
6;3;26;0;0;0;0;0;0;0;0
2;3;27;0;0;0;0;0;0;0;0
1;3;27;1;0;0;0;0;0;0;0
2;3;28;0;0;0;0;0;0;0;0
5;3;29;0;0;0;0;0;0;0;0
0;3;29;1;0;0;0;0;0;0;0
1;3;30;0;0;0;0;0;0;0;0
2;3;30;0;0;1;0;0;0;0;0
11;3;31;0;0;0;1;0;0;0;0
3;3;32;0;0;0;1;0;0;0;0
2;3;32;0;0;0;0;0;0;0;0
1;3;32;1;0;0;1;0;0;0;0
2;3;33;0;0;0;0;0;0;0;0
0;3;33;1;0;0;0;0;0;0;0
8;3;34;0;0;0;0;0;0;0;0
4;3;35;0;0;0;0;0;0;0;0
5;3;36;0;0;0;0;0;0;0;0
4;3;37;0;0;0;0;0;0;0;0
5;3;38;0;0;0;0;0;0;0;0
2;3;39;0;0;0;0;0;0;0;0
2;3;40;0;0;0;0;0;0;0;0
4;3;41;0;0;0;0;0;0;0;0
6;3;42;0;0;0;0;0;0;0;0
0;3;42;1;0;0;0;0;0;0;0
8;3;43;0;0;0;0;0;0;0;0
2;3;44;0;0;0;0;0;0;0;0
5;3;45;0;0;0;0;0;0;0;0
0;3;45;1;0;0;0;0;0;0;0
2;3;46;0;0;0;0;0;0;0;0
0;3;46;1;0;0;0;0;0;0;0
9;3;47;0;0;0;0;0;0;0;0
4;3;48;0;0;0;0;0;0;0;0
3;3;49;0;0;0;0;0;0;0;0
0;3;49;1;0;0;0;0;0;0;0
4;3;50;0;0;0;0;0;0;0;0
1;3;51;0;0;0;0;0;0;0;0
3;3;52;0;0;0;0;0;0;0;0
1;3;52;0;0;0;0;0;0;0;1
0;3;52;1;0;0;0;0;0;0;0
3;3;53;0;0;0;0;0;0;0;0
0;3;53;0;0;0;0;0;0;1;0
